Name,Instance Count,Size (bytes)
java.util.TreeMap$KeyIterator,9,288
java.util.TreeMap$KeySet,9,144
java.util.TreeSet,9,144
java.util.concurrent.ConcurrentLinkedQueue,9,216
java.util.logging.Level,9,288
java.util.logging.Level$KnownLevel,9,288
java.util.regex.Pattern$GroupTail,9,216
javax.management.MBeanNotificationInfo,9,288
jdk.internal.loader.AbstractClassLoaderValue$Sub,9,216
jdk.internal.org.objectweb.asm.Type,9,288
jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl,9,288
org.apache.catalina.webresources.Cache$EvictionOrder,9,144
org.apache.naming.NamingEntry,9,216
sun.nio.ch.SocketChannelImpl,9,1008
sun.util.logging.PlatformLogger$Level,9,216
sun.util.logging.internal.LoggingProviderImpl$JULWrapper,9,144
com.jprofiler.api.agent.probe.DataType,8,128
java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo,8,256
java.math.RoundingMode,8,192
java.net.Inet6Address,8,192
java.net.Inet6Address$Inet6AddressHolder,8,256
java.net.NetPermission,8,192
java.util.IdentityHashMap,8,320
java.util.regex.Pattern$GroupHead,8,192
org.apache.catalina.core.StandardWrapper,8,1920
org.apache.catalina.core.StandardWrapperFacade,8,192
org.apache.catalina.core.StandardWrapperValve,8,640
org.apache.tomcat.util.digester.SetPropertiesRule,8,192
org.apache.tomcat.util.net.AbstractEndpoint$Handler$SocketState,8,192
sun.management.MemoryPoolImpl,8,448
sun.management.MemoryPoolImpl$CollectionSensor,8,320
sun.management.MemoryPoolImpl$PoolSensor,8,320
sun.nio.cs.SingleByte$Encoder,8,512
com.jprofiler.agent.LockManager$a,7,112
com.jprofiler.agent.probe.f.a$a,7,112
com.jprofiler.agent.util.a.b.q,7,280
com.jprofiler.api.agent.probe.Unit,7,112
com.sun.org.apache.xerces.internal.util.FeatureState,7,168
int[ ][ ],7,248
java.io.OutputStreamWriter,7,168
java.lang.Boolean[ ],7,224
java.lang.System$Logger$Level,7,168
java.lang.invoke.DirectMethodHandle$Interface,7,280
java.nio.HeapCharBuffer,7,392
java.nio.channels.spi.AbstractInterruptibleChannel$1,7,112
java.util.LinkedHashMap$LinkedKeySet,7,112
java.util.concurrent.TimeUnit,7,560
java.util.regex.Pattern$BmpCharProperty,7,168
java.util.zip.ZipFile$InflaterCleanupAction,7,168
jdk.internal.loader.ClassLoaderValue,7,112
org.apache.catalina.valves.AbstractAccessLogValve$StringElement,7,112
org.apache.naming.NamingContext,7,224
org.apache.tomcat.util.http.parser.HttpParser$DomainParseState,7,224
org.apache.tomcat.util.net.SocketEvent,7,168
sun.invoke.util.Wrapper[ ],7,496
sun.nio.ch.DummySocketImpl,7,224
sun.nio.cs.StreamEncoder,7,336
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping,6,192
com.sun.org.apache.xerces.internal.util.Status,6,144
double[ ],6,664
java.beans.PropertyChangeListener[ ],6,136
java.io.BufferedWriter,6,240
java.lang.NamedPackage,6,144
java.lang.Thread$State,6,144
java.lang.invoke.BoundMethodHandle$Species_LLLLLLL,6,336
java.lang.invoke.LambdaForm$BasicType,6,192
java.lang.invoke.VarHandleInts$FieldInstanceReadWrite,6,192
java.nio.DirectLongBufferU,6,336
java.security.SecurityPermission,6,144
java.util.concurrent.Semaphore,6,96
java.util.concurrent.Semaphore$NonfairSync,6,192
java.util.regex.Pattern$Branch,6,192
java.util.regex.Pattern$BranchConn,6,96
java.util.regex.Pattern$Node[ ],6,144
jdk.internal.loader.NativeLibraries$NativeLibraryImpl,6,240
jdk.internal.loader.URLClassPath,6,240
jdk.internal.perf.PerfCounter,6,144
org.apache.catalina.mapper.Mapper$MappedWrapper[ ],6,128
